Agency Name,Profile URL,Website URL,Description,City,State,Employee Count,Min Project Size,Average Rating,Review Count,Industry Focus,Clients List,Common Project Size,Client Size Distribution
SmartSites,https://themanifest.com/company/smartsites,https://www.smartsites.com/lp/digital-marketing-lp/?utm_source=clutch.co&utm_medium=referral,"SmartSites is a SEO agency founded in 2011. The company focuses on Search Engine Optimization, Pay Per Click, Advertising, and Social Media Marketing and has a midsize team. The company is in Paramus, New Jersey; Chamblee, Georgia; Detroit, Michigan and Raleigh, North Carolina.","Paramus, NJ",NJ,'250 - 999,"$1,000+",4.9,344,"Automotive 15%
Dental 15%
Legal 15%
Medical 15%
Business services 10%
Real estate 10%
Retail 10%
eCommerce 10%",Porsche,"<$10K 106 projects
$10K-$49K 105 projects
$50K-$199K 33 projects","Small Business (<$10M) 90%
Midmarket ($10M - $1B) 10%"
KlientBoost,https://themanifest.com/company/klientboost,https://klientboost.com/results/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Based in Costa Mesa, California; Raleigh, North Carolina and Austin, Texas, KlientBoost is a pay per click agency. Launched in 2015, the midsize team offers Pay Per Click, Advertising, Social Media Marketing, Conversion Optimization, and more.","Costa Mesa, CA",CA,'50 - 249,"$1,000+",4.9,394,"Information technology 20%
Business services 15%
Education 15%
Financial services 10%
Legal 10%
Medical 10%
eCommerce 10%
Consumer products & services 5%
Other industries 5%",Bloomberg,"$10K-$49K 158 projects
<$10K 91 projects
$50K-$199K 59 projects","Small Business (<$10M) 20%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 30%"
AdVenture Media,https://themanifest.com/company/adventure-media-0,http://adventureppc.com/?utm_source=clutch.co&utm_medium=referral,"AdVenture Media is a midsize pay per click agency. They specialize in Pay Per Click, Social Media Marketing, Conversion Optimization, Ecommerce Marketing, and more and were launched in 2012.","Woodmere, NY",NY,'50 - 249,"$1,000+",4.9,93,"Consumer products & services 20%
eCommerce 20%
Legal 15%
Education 10%
Financial services 10%
Medical 10%
Media 5%
Other industries 5%
Retail 5%","Forbes Magazine
Hanes Brands
AMC Networks
Sports Illustrated","$10K-$49K 23 projects
$50K-$199K 14 projects
<$10K 6 projects","Small Business (<$10M) 45%
Midmarket ($10M - $1B) 50%
Enterprise (>$1B) 5%"
REQ,https://themanifest.com/company/req,https://req.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"REQ, a public relations company, was launched in 2008. The agency specializes in Public Relations, Advertising, Branding, and Search Engine Optimization and has a midsize team.","Washington, DC",DC,'50 - 249,"$25,000+",4.9,58,"Information technology 30%
Business services 25%
Real estate 15%
Medical 10%
eCommerce 10%
Energy & natural resources 5%
Hospitality & leisure 5%",,"$200K-$999K 17 projects
$50K-$199K 13 projects
$1,000,000-$9,999,999 3 projects","Midmarket ($10M - $1B) 40%
Enterprise (>$1B) 60%"
Bob's Your Uncle,https://themanifest.com/company/bobs-your-uncle,http://www.bobsyouruncle.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Bob's Your Uncle, a branding agency, was established in 2013. The small Toronto, Canada-based team offers Branding, Advertising, Packaging Design, Social Media Marketing, and more.","Toronto, Canada",ON,'10 - 49,"$50,000+",4.9,24,"Food & Beverage 55%
Consumer products & services 25%
Franchises 15%
Medical 5%","Popeyes Louisiana Kitchen
Sofina Foods - Janes, Lilydae, Mastro San Daniele
Second Harvest
Daniels Corporation","$50K-$199K 9 projects
$200K-$999K 4 projects
$1,000,000-$9,999,999 3 projects","Small Business (<$10M) 10%
Midmarket ($10M - $1B) 80%
Enterprise (>$1B) 10%"
Anchour,https://themanifest.com/company/anchour,https://www.anchour.com/?utm_source=clutch.co&utm_medium=directory,"Anchour, a branding firm, was established in 2013. Their small team is based in New Gloucester, Maine; San Francisco, California; Boston, Massachusetts and Santa Barbara, California and specializes in Branding, Advertising, Web Design, Pay Per Click, and more.","New Gloucester, ME",ME,'10 - 49,"$25,000+",4.9,56,"Business services 20%
Consumer products & services 20%
Financial services 20%
eCommerce 20%
Hospitality & leisure 15%
Medical 5%","Apple
TaskRabbit
Lighthouse Credit Union
Biolite","$50K-$199K 17 projects
$10K-$49K 16 projects
$200K-$999K 8 projects","Small Business (<$10M) 25%
Midmarket ($10M - $1B) 60%
Enterprise (>$1B) 15%"
Jives Media,https://themanifest.com/company/jives-media,http://www.jivesmedia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Jives Media is a SEO company. The small San Francisco, California-based agency was launched in 2012. Their team specializes in Search Engine Optimization, Pay Per Click, Advertising, Branding, and more.","San Francisco, CA",CA,'10 - 49,"$1,000+",5,339,"Non-profit 20%
Consumer products & services 15%
Hospitality & leisure 15%
Medical 15%
eCommerce 15%
Business services 10%
Financial services 10%",Oracle,"$10K-$49K 198 projects
<$10K 28 projects
$50K-$199K 9 projects","Small Business (<$10M) 33%
Midmarket ($10M - $1B) 34%
Enterprise (>$1B) 33%"
Lilo Social,https://themanifest.com/company/lilo-social,https://lilosocial.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-directory,"Lilo Social is a social media marketing agency. Launched in 2016, the small agency is based in Brooklyn, New York. Their team provides Social Media Marketing, Email Marketing, Advertising, Digital Strategy, and more.","Brooklyn, NY",NY,'10 - 49,"$5,000+",4.9,41,eCommerce 100%,NYC FC,"$50K-$199K 11 projects
$10K-$49K 10 projects
<$10K 7 projects","Small Business (<$10M) 70%
Midmarket ($10M - $1B) 25%
Enterprise (>$1B) 5%"
LYFE Marketing,https://themanifest.com/company/lyfe-marketing,https://www.lyfemarketing.com/?utm_source=clutchco&utm_medium=referral&utm_campaign=clutch&utm_content=social_media_marketing,"Small social media marketing agency LYFE Marketing, is in Atlanta, Georgia. They offer Social Media Marketing, Advertising, Email Marketing, and Pay Per Click and were founded in 2011.","Atlanta, GA",GA,'10 - 49,"$1,000+",4.4,140,"Advertising & marketing 10%
Business services 10%
Dental 10%
Education 10%
Financial services 10%
Hospitality & leisure 10%
Legal 10%
Medical 10%
Real estate 10%
eCommerce 10%",,"<$10K 82 projects
$10K-$49K 32 projects
$50K-$199K 2 projects","Small Business (<$10M) 50%
Midmarket ($10M - $1B) 50%"
Spire Agency,https://themanifest.com/company/spire-agency,http://www.spireagency.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Spire Agency is a branding agency. They specialize in Branding, Advertising, Web Design, and Marketing Strategy and were launched in 2005. Their small team is located in Dallas, Texas and Austin, Texas.","Dallas, TX",TX,'10 - 49,"$25,000+",5,21,"Business services 20%
Financial services 20%
Energy & natural resources 10%
Information technology 10%
Legal 10%
Manufacturing 10%
Medical 10%
Supply Chain, Logistics, and Transport 10%",TrinityRail,"$200K-$999K 10 projects
$50K-$199K 6 projects
$1,000,000-$9,999,999 1 project","Small Business (<$10M) 10%
Midmarket ($10M - $1B) 30%
Enterprise (>$1B) 60%"
Funnel Boost Media,https://themanifest.com/company/funnel-boost-media,https://www.funnelboostmedia.net/clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Funnel Boost Media is a SEO company. They are located in San Antonio, Texas; Doral, Florida; Boston, Massachusetts and San Francisco, California and have a midsize team that focuses on Search Engine Optimization, Advertising, Pay Per Click, and Web Design. The agency was launched in 2012.","San Antonio, TX",TX,'50 - 249,"$1,000+",4.9,108,"Legal 20%
Automotive 15%
Medical 15%
Business services 10%
Dental 10%
Financial services 10%
Retail 10%
eCommerce 10%",,"$10K-$49K 42 projects
<$10K 41 projects
$50K-$199K 7 projects","Small Business (<$10M) 90%
Midmarket ($10M - $1B) 10%"
Onya,https://themanifest.com/company/onya,https://www.onyamark.com/contact-us-clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Onya is a small Fishers, Indiana-based social media marketing agency. They specialize in Social Media Marketing, Advertising, Pay Per Click, and Marketing Strategy and were established in 2019.","Fishers, IN",IN,'10 - 49,"$5,000+",4.9,28,"Advertising & marketing 20%
Business services 10%
Consumer products & services 10%
Government 10%
Hospitality & leisure 10%
Medical 10%
Non-profit 10%
Other industries 10%
Retail 10%","Crumbl Cookies
Colorado Christian University Academy
Williams Bros Healthcare Pharmacy
Conrad Indianapolis","$10K-$49K 8 projects
<$10K 5 projects
$50K-$199K 2 projects","Small Business (<$10M) 60%
Midmarket ($10M - $1B) 40%"
